Date,A_OC_GOOGLE_SHOPPING,Is_NYE,C_DIV_BUY_CONNECTEDl21_0p0_0d0_0,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_06,C_DIV_CONN_DATAl21_0p0_0d0_06,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_12,C_DIV_GETNOW_CONNl21_0p0_0d0_12,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_0,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_0,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_12,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_06,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_06,DIV_PLANPAGE_HOMEl21_0p0_0d0_12,DIV_WYG_PPl21_0p0_0d0_0,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_0,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_06,SC_BUYNOWl21_0p0_0d0_12,SC_SHOPNOWl21_0p0_0d0_06
2/11/2024,689,0,-0.23430826,-0.98910608,-1.41773273,-0.124962299,-1.246688468,-0.641379188,0.546350279,-1.064592948,-1.130191538,0.600834843,-1.001386915,-0.536901846,-0.791897002,-0.471735012,-1.18525703,-0.167200918,1.040964084,0.182497697,-0.674591729,-0.542024301,1.283951456,-1.900657797,-2.028411058,-1.678718131,-0.845799352,-1.046772834,-1.289281009,-1.016640785,-1.655050368,-0.784494213,0.580933212
2/12/2024,705,0,-0.179352323,-1.110229954,0.093734395,0.000583936,-0.03702344,-0.100384708,0.401124504,-1.15272227,-1.281580925,1.063892431,-0.806854252,-1.417567859,-0.987971308,0.995700789,-0.080669585,0.3320796,-0.286725846,-0.253107825,-0.639058813,-0.42171499,1.398397147,-1.104548654,-0.811909854,-1.037010353,0.372286748,-0.853112884,-0.930317644,-0.098335326,-0.987792046,-0.172139017,0.631614266
2/20/2024,783,0,-0.014484511,-0.979788859,0.025031344,-0.619614463,-0.162296194,-0.360609901,-1.028790826,-0.79309778,-0.272318343,1.048840846,-0.781699166,-0.004458363,1.119827478,0.630085429,1.032223029,0.132367393,3.453049977,1.079715039,1.321914011,-0.311294115,-0.579009805,0.261407033,-0.047623468,-1.066528553,0.858258922,-1.205777846,2.439542508,0.312384725,-0.671455983,0.730279167,-1.057754183
2/21/2024,884,0,-0.948735447,0.082374346,-0.24978086,-0.531732099,-0.956995225,-0.230497305,-0.637798353,-0.963670661,-0.88460431,2.108649514,-0.718811452,3.228394681,1.070808902,1.806521248,1.405955623,0.651619131,4.377567049,3.114707997,0.520202585,-0.405234262,-0.698104852,0.261407033,0.679821135,-0.982625306,2.048995939,-0.892718528,0.472569789,0.976760665,-0.124721306,0.82696683,2.219620608
2/22/2024,1513,0,1.139590175,-0.14123896,0.3685466,0.354624318,3.106539724,-0.038752426,1.104910955,4.76757812,1.429971212,3.766094648,-0.858002926,0.833522308,3.913886335,1.893572525,1.663415855,0.771446455,1.291209306,1.469809536,1.093170862,-0.181096367,-0.698104852,3.646965914,1.46746473,-0.689053389,2.492892601,0.219442899,0.520187378,1.138476555,1.304181323,-0.784494213,-0.111707852
2/23/2024,1077,0,-0.893779509,0.2826946,0.231140498,-1.726932253,0.61282897,0.152992453,-0.369689228,1.123004243,1.739478403,2.356557974,-0.686948343,1.464816057,1.904124701,1.326495639,1.09035921,0.61167669,0.060836963,1.895662695,0.566839538,-0.227242404,-0.698104852,1.853625318,0.886183276,-1.169573905,1.609306829,-0.748856851,-0.106167064,0.584921149,0.358341333,-0.172139017,-1.108435237
2/24/2024,580,0,-0.344220135,-1.058985238,-0.868108321,-0.222888362,0.056931125,-0.340065807,0.267069942,0.389540857,-0.437164565,1.513669209,-0.517570765,1.062675199,1.168846055,1.072803348,-0.271688466,-0.267057021,-1.044412769,2.054951281,0.360304461,-0.29646146,-0.698104852,-0.241398741,-1.017549606,-1.906634414,0.616324723,-0.723520888,-0.776476203,-0.16017592,-0.631897474,1.536009689,1.374936384
2/25/2024,464,0,-0.67395576,-0.760834163,-0.593296116,0.251676405,-1.532466938,-0.05929652,1.484732214,0.115202808,0.104473021,1.468514454,-0.667662777,0.361736944,0.923753173,1.672213565,-0.429486673,-0.306999462,-1.106974075,1.008197715,-0.214884623,-0.548616592,-0.698104852,-0.727444323,-0.635888005,-1.960840563,-0.027430625,-1.490006585,-1.183057156,-0.763805789,-1.055028311,0.117923971,-0.162388905
2/26/2024,688,0,-0.509087947,-1.054326628,-0.936811372,0.525367197,-1.234944148,1.351397947,1.618786776,-0.341079647,0.481264385,1.379975718,-0.897412561,-0.240351045,0.482585985,1.498111012,1.42256596,-0.027402373,0.283277161,1.287765438,0.200406337,-0.443139936,-0.698104852,0.102185205,0.043878998,-1.546154578,1.037079853,-1.215970475,-0.780139094,0.926412571,-0.705250126,0.730279167,0.580933212
2/27/2024,839,0,-0.399176073,-0.39746254,0.299843549,-0.463937132,-0.232762118,0.488545992,0.222385088,1.420085343,-0.339602515,-0.484650058,-0.629091646,-0.049390302,1.462957513,2.152239174,1.480702142,-0.426826787,-0.328433383,1.499066623,0.704529589,-0.273388441,-0.698104852,1.317299159,0.407962493,-0.870635044,1.77760888,-0.672557743,-0.966946559,0.92039269,-0.489328431,0.021236308,-1.057754183
2/28/2024,837,0,0.919766425,0.851045087,2.017419827,0.731263022,0.413175519,0.022879857,-0.224463453,1.388813648,2.301301241,-0.729016969,-0.321361096,0.862728069,1.364920361,2.980469889,1.547143492,0.372022041,1.367673124,2.331268216,0.846661254,-0.158023348,-0.698104852,1.392720025,1.43881001,0.219749373,1.541986008,-0.247961943,-0.611646087,0.229748179,-0.488712392,1.536009689,1.374936384
2/29/2024,899,0,-0.509087947,1.806060249,1.605201521,2.187599344,0.644147159,1.008996378,-0.257977093,1.536643477,2.126362393,-0.736985455,-0.393472342,2.938583671,1.855106125,1.577700751,1.887655411,0.152338614,-0.613434886,1.859904033,1.592852499,-0.021233309,-0.698104852,1.870385511,2.1014805,0.507059853,1.74394847,0.809450506,0.044011487,1.214819589,0.109065522,0.117923971,-0.162388905
3/1/2024,1189,0,-0.45413201,1.438030016,-0.318483912,0.136173869,4.179187678,1.474662512,0.300583582,1.30921297,1.43333542,-0.736985455,-0.385087313,1.599611876,1.806087548,2.02041867,1.206631573,-0.007431152,0.304130929,0.897670941,3.484980298,-0.073971638,-0.698104852,1.568702046,1.993122317,0.133341552,0.906645762,0.667627355,2.919381291,1.974145467,0.57839929,0.730279167,-0.263751012
3/2/2024,1023,0,-0.509087947,-0.830713321,-0.24978086,0.259209179,0.475811896,0.317345207,1.764012552,-0.106541937,-0.457349817,-0.736985455,-0.17294609,0.276366259,1.315901784,0.105290591,-0.877965786,-0.067344814,-0.675996192,0.058967773,1.541773932,-0.03936211,-0.698104852,-0.358720089,-0.303107985,-0.745764113,-0.046364606,0.626274403,0.197852928,0.05954973,0.232581356,-0.784494213,0.580933212
3/3/2024,811,0,-0.893779509,0.184863778,-0.936811372,-1.608918793,0.828141516,1.200741257,-1.140502961,0.224653739,0.945525172,-0.736985455,-0.441267005,0.426888256,-0.105636932,0.737034139,-1.102205342,-0.486740449,-0.390994689,-1.085309418,1.148691044,-0.340959425,-0.698104852,-0.936946729,-0.596879059,-1.145243753,-0.679601076,-0.729636465,-0.681241024,-0.126245683,-0.553176481,-0.172139017,-1.057754183
3/4/2024,1119,0,0.919766425,1.037389509,1.124280163,0.412375586,0.276158445,-0.045600457,-0.112751318,1.137218649,0.868148374,-0.736985455,-0.644184697,-0.5706008,1.757068972,0.530598256,0.982392016,-0.306999462,0.324984698,1.226000476,1.85268695,-0.042658255,-0.698104852,0.370348284,0.176316777,-0.000474288,0.673126666,0.3685465,0.260122083,1.648251009,0.028056384,1.536009689,3.064304833
3/5/2024,975,0,-0.45413201,-0.276338666,-0.043671707,-0.087298428,2.002573582,-0.55235478,0.334097223,0.457770009,-0.151206833,-0.736985455,-0.391795336,0.716699265,0.82571602,0.555470049,1.389345285,0.372022041,1.409380661,0.380795733,1.386317422,-0.205817458,-0.698104852,0.211126456,0.114913807,0.015984345,0.761485243,-0.17224527,-0.058549475,0.810940311,0.105281282,0.117923971,0.783657426
3/6/2024,922,0,0.370207051,0.837069255,0.299843549,0.251676405,0.150885691,-1.278246108,-0.190949812,0.328418908,-1.3892356,-0.736985455,-0.589682011,2.370194637,1.070808902,0.252034171,0.21831649,-0.147229697,0.42925354,1.056959527,1.275277058,-0.233834695,-0.698104852,0.010004146,0.240850095,-0.016932921,0.81618341,-0.587522096,-0.098841281,-0.011867947,-0.290567825,-0.881181876,-0.213069959
3/7/2024,946,0,0.150383302,0.524942348,0.299843549,-0.227910211,1.599351906,-0.162016991,-0.537257431,0.71505077,0.895062043,-0.736985455,-0.491577177,0.554944283,1.217864631,0.339085448,0.542218072,-0.426826787,0.714255044,0.260516596,1.419629531,-0.141542621,-0.698104852,-0.383860377,0.26083616,-0.086166517,0.565834107,-0.799528778,0.168549797,0.680965611,-0.255057572,0.633591505,-0.263751012
3/8/2024,1041,0,0.919766425,-0.346217824,1.811310674,0.997421039,1.301829116,-0.360609901,-0.850051409,1.934646865,1.540990096,-0.736985455,-0.099157838,2.462305113,2.05118043,0.789264905,0.234926828,0.152338614,0.735108812,0.234510296,1.035429873,-0.247019277,-0.698104852,1.501661276,0.189319759,0.066791428,0.536381248,0.033645834,-0.241694048,1.313600361,-0.163487765,0.021236308,-0.263751012
3/9/2024,960,0,0.864810488,0.3712082,0.712061856,0.319471372,0.495385764,-0.230497305,-0.045724037,1.400185173,1.234847112,-0.736985455,-0.577942971,1.684982561,1.757068972,0.468418773,-0.487622854,-0.287028242,0.387546003,0.000453598,1.153132658,-0.215705895,-0.698104852,0.185986167,-0.091929925,-0.459527022,0.170324286,-0.032169427,-0.618971869,0.391190438,-0.173608407,0.730279167,2.270301662
3/10/2024,744,0,-1.333427009,-1.510870461,-1.005514423,-1.985557497,0.839885836,-0.55235478,0.61337756,0.146474502,-1.140284164,-0.736985455,-0.13772897,-0.503202891,-0.007599779,0.112752129,-0.961017473,-0.506711669,0.019129426,0.377544945,0.575722767,-0.265148078,-0.698104852,-1.062648173,-1.192126679,-1.47316412,-0.90470507,-0.927373467,-1.054855954,-0.665025018,-0.541955769,-0.784494213,0.732976373
3/11/2024,962,0,-0.728911697,-1.049668017,-0.593296116,-0.865685083,-0.702534944,0.091360171,1.797526192,-0.065320157,0.064102517,-0.736985455,-0.370832765,1.16601866,0.580623138,0.759418753,0.459166384,0.03251129,-0.001724343,0.995194565,1.219756877,-0.095396584,-0.698104852,-0.048656528,0.199673986,-0.629838091,0.336522562,-0.165256039,-0.278322963,0.041216457,-0.11737284,0.633591505,-0.213069959
3/12/2024,668,0,0.260295176,-0.383486709,0.505952702,0.0884663,0.769419912,0.515938117,-0.581942285,0.3525834,-0.023366906,-0.736985455,-0.406049885,0.599876223,0.384548832,0.903675154,0.55882841,-0.087316035,-0.349287151,0.900921728,1.179782346,-0.126709966,-0.698104852,1.040755983,0.359321709,-0.148244186,0.490098184,-0.50947568,-0.241694048,0.648129897,-0.057573047,0.82696683,0.580933212
3/13/2024,738,0,0.205339239,-0.546538078,0.231140498,0.643380658,-0.311057589,0.214624736,-0.045724037,0.43929128,-0.538090823,-0.736985455,-0.364124742,1.345746418,1.413938937,1.035495658,1.015612691,0.03251129,-0.37014092,1.531574498,1.526228281,0.067762619,-0.698104852,0.353588092,0.604451999,0.00757613,0.990796788,0.471637661,0.17587558,2.556158492,0.624250198,-0.784494213,1.47629849
3/14/2024,883,0,-0.67395576,1.056023951,-0.24978086,0.799057988,1.380124587,-0.511266592,0.054816885,0.550163653,1.786577324,-0.736985455,-0.359093725,1.168265257,0.776697443,1.1747777,0.226621659,-0.326970683,-0.022578111,0.228008721,1.490695364,-0.098692729,-0.698104852,0.638511364,0.281785409,-0.247353779,0.42908869,0.488237085,0.271110758,1.177332149,0.480229063,-0.977869539,-0.162388905
3/15/2024,708,0,0.095427364,0.669359275,-0.318483912,-0.197779115,2.464516862,-0.764643753,-0.783024128,0.740636702,-0.090651078,-0.736985455,-0.254280867,-0.305502357,0.629641714,1.314059742,0.01899244,-0.406855566,-0.001724343,0.874915428,1.137587007,-0.167911785,-0.698104852,0.018384242,0.008722787,-0.68207636,0.018852439,-0.15506341,-0.44681597,0.30800663,0.312930452,-0.172139017,-1.108435237
