Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_12,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_12,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_06,C_DIV_GETNOW_CONNl21_0p0_0d0_0,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_06,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_06,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_REMOTEl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_HDStreamingl21_0p0_0d0_12,DIV_PKG_SS_CRASHl21_0p0_0d0_06,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_0,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_06,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_06,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_0,SC_BUYNOWl21_0p0_0d0_06,SC_SHOPNOWl21_0p0_0d0_12
2/29/2024,899,-0.388191074,1.771422247,1.661214667,2.214016461,0.677093042,1.037199733,-0.2354693,1.519521605,2.098756341,-0.786969156,-0.358506958,2.975977348,1.898039772,1.592022322,1.939868863,0.158191793,-0.653049868,1.763649871,1.616138898,0.549229152,0.000235332,-0.719339936,-0.701501036,-0.738776676,1.923944984,2.139214718,0.559465999,0.853601178,0.053365996,1.243835337,0.184605151,-0.003100815,-0.12726405
3/1/2024,1189,-0.497906844,1.403380775,-0.305184292,0.268032691,4.18308969,1.514106366,0.339155226,1.249988427,1.404154296,-0.786969156,-0.350025867,1.628043666,1.907337655,2.043237902,1.288785554,-0.005725036,0.259430769,0.803760367,3.443972872,0.114641715,-0.053668169,-0.719339936,-0.701501036,-0.738776676,1.617096504,1.986614035,0.155996855,0.710881078,2.953312889,2.019464958,0.632810065,0.710563642,-0.323944854
3/2/2024,1023,-0.543449239,-0.865431847,-0.234955758,0.263068447,0.731269591,0.328853115,1.810194012,-0.251696424,-0.490827979,-0.786969156,-0.135454254,0.295941421,1.436864771,0.091350279,-0.8060754,-0.067193847,-0.715264457,-0.008195204,1.566795962,-0.032615185,-0.018293996,-0.719339936,-0.701501036,-0.738776676,-0.343324341,-0.429563441,-0.743695125,0.669266593,0.417216874,0.06376029,0.248309403,-0.862742093,0.495558497
3/3/2024,811,-0.911928615,0.150176267,-0.937241101,-1.568737704,0.847362195,1.233573052,-1.264047201,0.287369933,0.915235382,-0.786969156,-0.406849179,0.447470878,0.032884425,0.735219703,-1.150362098,-0.497475524,-0.431842441,-1.146277856,1.18706989,-0.898198428,-0.326554644,-0.719339936,-0.701501036,-0.738776676,-0.931450594,-0.594880848,-1.111323341,-0.69521962,-0.619889325,-0.126024399,-0.541168287,-0.149077636,-1.045107802
3/4/2024,1119,0.752438904,1.002728032,1.169614927,0.317675134,0.336554736,-0.042853526,-0.01711198,1.211483687,0.837682726,-0.786969156,-0.61209159,-0.556694482,1.637699045,0.524821427,0.890964976,-0.313069091,0.280168966,1.309761664,1.867144267,0.366055935,-0.021662965,-0.719339936,-0.701501036,-0.738776676,0.398226152,0.231706184,0.111501423,0.409908711,0.264227492,1.68657311,0.107249989,1.52154598,2.855728147
3/5/2024,975,-0.336438353,-0.311040261,-0.024270155,-0.049678945,2.008288237,-0.561840157,0.356393961,0.364379412,-0.183989212,-0.786969156,-0.35681074,0.739221625,0.966391887,0.550170617,1.415335063,0.383577433,1.358555173,0.28431053,1.416621809,0.168516191,-0.188426922,-0.719339936,-0.701501036,-0.738776676,0.236278343,0.117255672,0.05430645,-0.134303252,0.003365655,0.831284231,0.148202722,-0.003100815,0.888920105
3/6/2024,922,0.284594303,0.802401661,0.326872516,0.248175714,0.282378187,-1.30525344,-0.200991829,0.325874673,-1.424831699,-0.786969156,-0.556964496,2.403784023,1.092843097,0.2409105,0.285229939,-0.149152262,0.383859947,1.054239414,1.309354557,-0.093672924,-0.217063157,-0.719339936,-0.701501036,-0.738776676,0.03171269,0.257139631,0.027590377,-0.55220646,-0.055745535,-0.009190821,-0.263599762,-0.911401033,-0.225604452
3/7/2024,946,0.170738316,0.490265223,0.326872516,-0.203570519,1.598094369,-0.162080185,-0.522781563,0.74942681,0.864657563,-0.786969156,-0.457735727,0.576383999,1.260204992,0.329632664,0.535218426,-0.436006713,0.667281963,0.180084349,1.448801985,-0.179872085,-0.12273203,-0.719339936,-0.701501036,-0.738776676,-0.368895048,0.269856354,-0.044091481,-0.765553961,0.207886,0.698518801,-0.202170662,0.661904702,-0.323944854
3/8/2024,1041,0.870435109,-0.380921554,1.87190027,0.977919628,1.396867188,-0.365466838,-0.827332562,2.020083222,1.512053643,-0.786969156,-0.06082065,2.496511005,2.067261244,0.788453002,0.251505232,0.158191793,0.68802016,0.208662495,1.077657293,-0.154730663,-0.230539033,-0.719339936,-0.701501036,-0.738776676,1.548907952,0.193556013,0.121002562,0.072889994,-0.184317841,1.344737065,-0.111164588,-0.051759755,-0.323944854
3/9/2024,960,0.90562696,0.33652638,0.748243722,0.38221031,0.576479452,-0.232213513,0.017365491,1.288493167,1.205214876,-0.786969156,-0.545090968,1.713985747,1.883163159,0.461448452,-0.478814768,-0.292579487,0.342383555,-0.038454418,1.19136058,-0.154730663,-0.198533829,-0.719339936,-0.701501036,-0.738776676,0.210707637,-0.098928629,-0.44266895,0.00665849,-0.584174796,0.402521767,-0.127090651,0.710563642,2.134565198
